SHINE RESUNGA DEVELOPMENT BANK LTD.,11000061,NULL,SHINE RESUNGA DEVELOPMENT BANK LTD. (SIMALTARI),Simaltari,,Gulmi,Gulmi,np,np        ,NULL,NULL,NULL,NULL
SANIMA BANK LTD.,11000064,NULL,SANIMA BANK LTD (NAXAL),Narayanchour, Naxal,,Kathmandu,Kathmandu,np,np        ,NULL,NULL,NULL,NULL
SHINE RESUNGA DEVELOPMENT BANK LTD.,11000071,NULL,SHINE RESUNGA DEVELOPMENT BANK LTD. (WAMI TAKSAR),Wami Taksar,,Gulmi,Gulmi,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000104,NULL,JEEVAN BIKAS SAMAJ (BIRATNAGAR (MAIN),Katahari, Near Mayur Biscuit Factory, Biratnagar,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000105,NULL,JEEVAN BIKAS SAMAJ (KARSIYA),Karsiya,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000106,NULL,JEEVAN BIKAS SAMAJ (MAJHARE),Majhare, Near Laxmuniya Chowk,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000107,NULL,JEEVAN BIKAS SAMAJ (BUDHANAGAR),Rani, Police Training Centre,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000108,NULL,JEEVAN BIKAS SAMAJ (DAINIYA),Dainiya Chowk,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000109,NULL,JEEVAN BIKAS SAMAJ (BAHUNI),Hahuni, West from Bahuni Medical,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000110,NULL,JEEVAN BIKAS SAMAJ (JHORAHAT),Jhorahat, Near to Sarswati School,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000111,NULL,JEEVAN BIKAS SAMAJ (SIJUWA),100 meter away from AAmbari Chowk,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
